word,file_code
a,CW4
abbreviated,B2_UW15
able-bodied,B1_UW7
ablutions,B2_UW16
about,CW53
absolve,B2_UW17
absorb,B2_UW18
achieve,B1_UW21
adapt,B1_UW22
adhesion,B2_UW19
adjacent,B2_UW20
adulation,B1_UW52
advantageous,B2_UW21
advice,B1_UW53
afterthought,B3_UW58
agricultural,B2_UW22
ahead,B3_UW98
all,CW33
allure,B2_UW23
aloft,B2_UW24
aloof,B2_UW25
Alpha,LA
Alt,C7
although,B2_UW26
amethysts,B1_UW54
an,CW42
and,CW3
annoyed,B1_UW55
anxieties,B2_UW27
anybody,B2_UW28
anything,B2_UW29
apothecary,B2_UW30
appreciable,B2_UW31
apprehend,B2_UW32
approach,B2_UW33
are,CW15
as,CW16
ashamed,B1_UW56
Asia,B1_UW57
astounded,B2_UW34
at,CW21
atrocious,B2_UW35
authoritative,B2_UW36
autobiography,B1_UW23
avenues,B1_UW24
aversion,B2_UW37
away,B3_UW99
awhile,B3_UW59
azure,B1_UW58
babyhood,B1_UW25
bachelor,B2_UW38
Backspace,C2
ball,B1_UW90
balloons,B3_UW91
banana,B1_UW94
bath,B2_UW97
bathe,B2_UW39
baths,B2_UW40
bathtub,B2_UW96
battlefield,B2_UW41
battlements,B2_UW42
battleship,B2_UW43
be,CW22
beef,B2_UW44
been,CW83
beguile,B1_UW59
behavior,B1_UW26
beleaguering,B2_UW45
Bengal,B2_UW46
bequeath,B2_UW47
berserker,B3_UW47
betook,B2_UW48
betroth,B2_UW49
Birmingham,B1_UW60
blithe,B2_UW50
bloodshed,B2_UW51
blue,B2_UW88
bluebells,B2_UW52
bogies,B1_UW27
booth,B2_UW53
boquets,B1_UW28
bosom,B2_UW54
both,B2_UW55
bother,B2_UW56
boulevard,B2_UW57
boyhood,B2_UW58
Bravo,LB
broil,B2_UW59
brotherhood,B2_UW60
browbeat,B3_UW60
brush,B3_UW86
buffoon,B2_UW61
bulge,B2_UW62
bulrush,B2_UW63
bungalows,B3_UW61
burrows,B1_UW61
bushels,B1_UW8
but,CW30
butcher,B2_UW64
butterflies,B2_UW65
by,CW28
call,CW84
can,CW38
candlelight,B2_UW66
car,B2_UW87
carrot,B2_UW90
casualties,B1_UW29
Catholic,B2_UW67
celebrity,B2_UW68
chair,B2_UW93
chambermaid,B3_UW48
Charlie,LC
chatterbox,B1_UW62
chauffeur,B1_UW63
cheshire,B1_UW30
chide,B2_UW69
choice,B1_UW64
choking,B1_UW31
choking,B3_UW62
chowder,B1_UW65
circular,B1_UW32
clergyman,B3_UW63
clown,B3_UW89
cobblestones,B1_UW66
coherent,B2_UW70
coil,B2_UW71
come,CW95
Command,C1
commercial,B3_UW64
composure,B1_UW33
Control,C8
convenience,B3_UW65
