sample_id,asr_transcript,agent_response,activation_path,agent_seconds,error,ground_truth,severity,word_category,speaker_id,b_label,c_label,confidence,justification,is_ambiguous,probe_says_ambiguous,output_was_confident
CM01_B3_CW79_M5,Bye.,Goodbye!,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/CM01_B3_CW79_M5.npz,0.4732742309570312,,my,control,common_word,CM01,B1,C1,high,Agent silently reinterprets 'my' as 'Bye' and responds warmly without checking.,1,True,True
CF04_B2_D5_M5,Fun.,It sounds like you're having fun! Is there anything specific I can help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/CF04_B2_D5_M5.npz,1.4026508331298828,,Five,control,digit,CF04,B1,C1,high,Agent silently reinterprets 'Five' as 'Fun' and answers confidently without checking understanding.,1,True,True
CM06_B1_UW87_M2,Nice.,It's nice to hear from you. How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/CM06_B1_UW87_M2.npz,1.2814147472381592,,knife,control,uncommon_word,CM06,B1,C1,high,"Agent silently reinterprets 'knife' as small talk and answers warmly, never questioning the input.",1,True,True
CF03_B3_UW74_M5,Shoot it.,Could you please provide more context or clarify your request?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/CF03_B3_UW74_M5.npz,1.041581392288208,,Judith,control,uncommon_word,CF03,B1,C1,high,Agent acted on incorrect content without checking or asking for clarification.,1,True,True
CM05_B3_UW8_M5,Hey word.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/CM05_B3_UW8_M5.npz,0.9328160285949708,,Heyward,control,uncommon_word,CM05,B1,C1,high,Agent silently reinterprets a failed command as small talk and answers warmly and confidently.,1,True,True
M09_B3_CW20_M7,Hi.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M09_B3_CW20_M7.npz,0.9253301620483398,,I,high,common_word,M09,B1,C1,high,Agent silently reinterprets 'I' as 'Hi' and answers warmly without checking understanding.,1,True,True
M14_B2_LF_M4,Fuck's trying.,"I'm sorry, I didn't quite understand that. Could you please clarify or rephrase?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M14_B2_LF_M4.npz,1.6121995449066162,,Foxtrot,high,radio_alphabet_letter,M14,B1,C1,high,ASR error changed meaning entirely and agent acted on it confidently without checking.,1,True,True
M14_B3_LF_M4,"Thanks, Charlie.",You're welcome! Is there anything else you need help with?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M14_B3_LF_M4.npz,1.2030391693115234,,Foxtrot,high,radio_alphabet_letter,M14,B1,C1,high,Agent silently reinterprets failed command as small talk and answers warmly without checking understanding.,1,True,True
M08_B2_CW99_M3,Ola.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M08_B2_CW99_M3.npz,0.9364678859710692,,oh,high,common_word,M08,B1,C1,high,Agent silently reinterprets 'Ola' as 'Hello' and answers warmly without checking understanding.,1,True,True
M16_B3_UW31_M3,Ciao.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B3_UW31_M3.npz,0.9477159976959229,,shout,low,uncommon_word,M16,B1,C1,high,"Agent silently reinterprets a failed command as small talk and answers warmly, never recognizing the command failure.",1,True,True
M16_B2_UW56_M3,That's all I have to say.,"Okay, let me know if you need anything else.",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B2_UW56_M3.npz,1.0757899284362793,,bother,low,uncommon_word,M16,B1,C1,high,Agent silently reinterprets a failed command as social interaction and answers confidently without checking understanding.,1,True,True
M16_B2_LC_M4,How are you?,"I'm good, thanks for asking! How can I help you today?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B2_LC_M4.npz,1.343210220336914,,Charlie,low,radio_alphabet_letter,M16,B1,C1,high,"Agent silently reinterprets a failed command as small talk and answers warmly, never questioning the input.",1,True,True
M16_B3_CW61_M6,Oh.,It seems like you might need some help. Could you please clarify your request?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B3_CW61_M6.npz,1.420961618423462,,her,low,common_word,M16,B1,C1,high,Agent silently reinterprets 'her' as needing help and answers confidently without checking understanding.,1,True,True
M16_B1_UW39_M4,I'll work.,Great! How can I assist you while you work?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B1_UW39_M4.npz,1.0728600025177002,,fowler,low,uncommon_word,M16,B1,C1,high,Agent silently reinterprets a failed command as a statement and responds confidently without checking understanding.,1,True,True
M16_B2_CW24_M5,Hello.,Hello! How can I assist you today?,/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B2_CW24_M5.npz,0.9513094425201416,,have,low,common_word,M16,B1,C1,high,Agent silently reinterprets 'have' as greeting and answers warmly without checking understanding.,1,True,True
M16_B2_LF_M7,Fuck that.,"I'm sorry, I didn't quite understand that. Could you please clarify or rephrase?",/kaggle/input/datasets/a202411024/dataset1/activations_backup/kaggle/working/activations/M16_B2_LF_M7.npz,1.6038413047790527,,Foxtrot,low,radio_alphabet_letter,M16,B1,C1,high,ASR error changed meaning entirely and agent acted on it confidently without checking.,1,True,True
